name,place_id,types,rating,price_level,user_ratings_total,vicinity,geometry_location_lat,geometry_location_lng,Monday F,Tuesday F,Wednesday F,Thursday F,Friday F,Saturday F,Sunday F,Total F,Conclusion
Mozza Pizza,ChIJIY4fxkEDzkwRZMM5c8qAgDw,"['restaurant', 'food', 'point_of_interest', 'establishment']",3.5,,92.0,"214 Boulevard de la Cité-des-Jeunes, Gatineau",45.4500654,-75.75483969999998,5.0,9.5,9.5,10.5,11.5,11.0,9.5,66.5,Open
Pizza Café Taché,ChIJ00UmV44DzkwRZ5qm5EzaOXA,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.3,2.0,286.0,"481 Boulevard Alexandre-Taché, Gatineau",45.4202115,-75.75196,12.5,12.5,12.5,12.5,14.0,14.0,12.5,90.5,Open
Pizza la Cite,ChIJyXvPcSkDzkwRQtGQHkXm00g,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.9,,51.0,"455 Boulevard Riel, Gatineau",45.4645854,-75.7721265,6.0,6.0,6.0,8.0,8.0,8.0,6.0,48.0,Open
Subway,ChIJj7Fb-i8DzkwRBrPaaxb3TVU,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.8,1.0,102.0,"207 Boulevard du Mont-Bleu, Hull",45.4602566,-75.76674249999998,15.0,15.0,15.0,15.0,15.0,14.0,13.0,102.0,Open
Restaurant Bun Seto,ChIJyXvPcSkDzkwRqkoF9ei109M,"['restaurant', 'food', 'point_of_interest', 'establishment']",3.5,,51.0,"455 Boulevard Riel, Gatineau",45.4649159,-75.77177209999998,12.35,12.35,8.5,8.5,8.5,5.0,5.0,60.2,Open
McDonald's,ChIJgyRhDggDzkwRSYms7_UKfzc,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.9,1.0,1540.0,"243 Boulevard des Grives, Gatineau",45.4337813,-75.77948470000003,24.0,24.0,24.0,24.0,24.0,24.0,24.0,168.0,Open
Boston Pizza,ChIJV2m-D2PT3UMRVSjMwS4_f4w,"['meal_delivery', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.7,2.0,905.0,"247 Boulevard des Grives Local 2A, Gatineau",45.4336197,-75.7802257,8.0,8.0,8.0,8.0,9.0,6.0,5.0,52.0,Open
Couche-Tard,ChIJNXWZMh0DzkwR7j6zyb9B9MY,"['convenience_store', 'atm', 'gas_station', 'meal_takeaway', 'finance', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",2.0,,9.0,"585 Boulevard des Grives, Gatineau",45.4434776,-75.7860194,24.0,24.0,24.0,24.0,24.0,24.0,24.0,168.0,Open
Diament Gastronomie,ChIJLT-h8QMDzkwRNS91advkoLM,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,,"55 Rue du Firmament, Gatineau",45.4388123,-75.7849002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closed
Café des Sentiers - Parc de la Gatineau,ChIJz8IeMb0DzkwRtN4QgJ7Vr-o,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",5.0,,6.0,"397 Boulevard de la Cité-des-Jeunes, Gatineau",45.4624329,-75.77435559999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closed
Pizza Shawarma Plateau,ChIJx8iqnwwDzkwRrg5BEtygfHY,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.6,1.0,195.0,"20 Boulevard du Plateau, Gatineau",45.4370301,-75.76836290000001,12.0,12.0,12.0,12.0,13.0,13.0,12.0,86.0,Open
Shawarma style,ChIJWwaeVSUDzkwRhpxcmGVPLQo,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.7,1.0,121.0,"207 Boulevard du Mont-Bleu, Gatineau",45.4604051,-75.7667381,8.0,8.0,8.0,8.0,8.0,7.0,0.0,47.0,Open
Transit Café,ChIJJ8UfQR0DzkwRhryyTBbbhAQ,"['bakery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",3.8,,4.0,"591 Boulevard des Grives, Gatineau",45.4444811,-75.7864869,24.0,24.0,24.0,24.0,24.0,24.0,24.0,168.0,Open
Restaurant Laspézia,ChIJl7GsePsCzkwRMK1NrzcKhjM,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.5,2.0,161.0,"147 Boulevard d'Europe, Gatineau",45.44261119999999,-75.79498989999998,10.0,10.0,10.0,11.0,11.0,6.0,0.0,58.0,Open
Le Prince Shawarma,ChIJI1QvUgEDzkwRZ88K2vwWAXc,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.4,1.0,343.0,"195-unite 101, Rue de l'Atmosphère, Gatineau",45.43823129999999,-75.78473709999999,10.0,10.0,10.0,10.5,10.5,10.5,9.5,71.0,Open
